29255
_jm^i^ _`
OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn UELVrhS]Y
n joI`T^P
$ n[XULTFfOJ_TFfOSfOLlUcfOcUl
JnYjB bPqjo`T
T O^
$ nZ
_i^iKJFJFJF[GaYE UYe]RS
kT _i^T
Z_j nqj
bP`OJT\lUSUXU bPDO
nqiKbN _SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHY
[hXXXXXXXXXXXXXXXXXXXXXXXXXXX [hXXXXXXXSXXX
bbj n`OGaYbjj
OefO^[hXXXXXXXXXX [hXXXXX
U IS
bP` bP`OXfOSfOEM
Ua OUE_Ca
neo $
_SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j_____ RT___
_TP`OJTDULT_lfOLl bPJH`OSfOLl
_i^S`To _jSa`ToI
nJFbHOlj nJ
ULY OoP`OEXTBfOcUSfOGEF
[hYX OefO^[hXXXXXXXXXXXXX
_S`ToII`TmK [
_i^TP`OSfOS bP[_lfOll
nJF [
SbPeqiKeef_jr^TP`OllUcUcUK Ubh
rji _S`Tm^SI`Tm
rB UN
bPqjr^jmK[UJE[ULT_ _TP`OS
V UNS
_jSa`ToII _S`To
nXUSUSUEMQNOEOrJ UbhlT
n[llUXU _joKTrK[XfOXfOSU
$ n[SUGEFHYdHbqOEM
RTfnH n[CT_lUSU
_jrK`OcUSf [SD
_i^SIII`ToII`ToIII`Tm^TPJFbPZFLr nbELXhLOAr
[SNpFSpFhXXXX [SpFhXXXXX
bP [i^`jr
RLH RT]fN
bPbP]RS n`OcfOJFfOLlUEXTBUXfOGaoYES]FSaZF_CLgYE
_BTPa bPZOKijFbYdHEFHLH
VfNfUYdHN\ OV
UbJca nJF`
bP [i^`jr
nXUSUSUEMQNOEOrJFf bP[cUcf
UELVrhS]Ynnnnn UPXQS_YnnGnnnnOnn
_TP`OcUSUGO _ipOG
SKN VfNfUYdHN
nq`S_jr`TmKZO nZO[K[
_TPbbjqOllfOGE nkOJT\lfOqEFMHE
n[GPXS UEOcJAOHEOXS
_iK[SfOcUL UPZCbhlT_lfOYL
_S`To`Tm^jr^TPZ _ioeWSHPZH
UPXYLH _TPgOGBX
nbELXhLOA _i^SIII`ToII`ToIII`Tm^TPJFbPZFL
bPJeFbMZZ`ZZd _TPbELVO__
jFN V]
_T $
_jm^i^ $
UN [
nXUSUSUEMQNOEOrJ OoP[LTTDfOLT
bPJeFbMZZ`Z ULHYY_Z
bPqj _^Sb`T
_TP[XUJT Ym`[OcUcfOLlUJT
RT OrS
_K _S`Tr^jr^iK
_i^i^jmKbN G[]
RP OoPZZQOijFJFbLnYaY
dH n
$ RT]f
UP]CLnYLgYbqOLTTDUcUJTDULl nP[Sl
nbHl nJFZ
OUp^_iK`OLSUGbqOEjOXUXfOE _TPbaYEFHbhLTFUJFfOEjOSUE
[hX [hXXXXXXXXXXXXXXXXXXXX
hUPZFLrh_RYPZRYbhJ bP`OXfOcUJT\TT\TFUXfOEX
V _SkT^YKbNfO^RT
UESXYLnY n`OERFULTTDfOYZobPZFSZC
UbjhcUSUJ_lfO p_TPdh`OSU
`OLl UbjjqOcUc
_TP $
UaYNfn ULnYbqOXfOlTFUY
bPVFJFW O^bPe
nJFbES]CP U`HY
joI`T^ _T
n[XfOGOW V]O]
OefnqiK _TP_mc
JFF _jr^jrK
ULHYY_ bPJeFbMZZ`
_F _iKqS`To`T
ULgYP]FSXZ UE_
n[XfOSUSUcfOG nW
_T joI`T^
n`OcfOJFfOLlUEXTBUXfOGaoYES]FSaZF_CLgYE UP]F
OefO^[hXXXXXXXXXXXXXX [hXXXXXXXXX
bPZOi nbbjqOXUJFfOSULlfOY
_\KbOfR R
_SI`TrK b
OUp^_iK`OLSUGbqOEjOXUXfO _TPbaYEFHbhLTFUJFfOEjOSU
MORT OoPe
nZO[K[ nq`S_jr`TmKZO
bPqS`ToaTrKb U
bPZOiO OoP`OXUYO
nJFqjm^TPbaYLHYE_Yn IUY_Zdcerh_Y
VfNfUYdH SK
RT _\KbOfRT
$ E
_TP`OJTDULT_lfOLlf bPJH`OSfOLlf
VKl V]f
JH nJ
Vd O^bP
b _SI`TrK
_i^ $
n`OXfkllUJT\TTDfOXfOcfOLlUrYZoJFqjmK[ n`OXU
n[LTT nZZjUF[JT
nLLlUJTDfOc^ bP`Oc
Un bPb
bPeeWf IVnJ
$ nN
b_aTPeAP[ O^_j
_SqI`Tr^mj _SII`T
nJFqO nqi^T
hUPZFLrh_RYPZRYbhJF _i^TP[EMQOXfOLl
UbqOl `OL
bP bLqjrK
nqj Z_j
pDb _T
nbELXhLOA _i^SIII`ToII`ToIII`Tm^TPJFbPZFL
_NID bPqjo`
U YJLjQ
W $
bP`Oc nXUSUSUEMQNOEOrJF
bPbaY UE_CP
b nJ
bPqiMjr^jr^jm^i^TPJ _jr^jrKJ
U oTf
p_TPdh`OSUY n`OY
n[IJf_TTDf UbqOXUXfOEj
$ W
_T joI`T^
U IS
[SUE_]U [S_
n`OXfkllUJT\TTDfOXfOcfOLlUrYZoJFqjmK[ n`OXU
_TP`OJTDULT_lfO bPJH`OSfO
QUbjqOcUSUflTfT\T bP`OYZo`OSULT_T
n nJFe^UaYaYE
Ym`[OcUcfOLlUJ _TP[XUJ
bLqjrK bPqTP
T] V]]
bPeeWf IVnJ
rji _jm
joI`T^ _T
nJF`O UbJcaO
_\KbOfRT RT
Z_jr nqjr
m [FfNUU\]f
[F T]]]
[SNp [pY
UaYNfn ULnYbqOXfOlTFUY
bPqjr^jmK[UJE[ULT_ n`OXUGbjjjqOGbqOcfOSfOSUJTBfOXfOc
_ _S`Tr^jr^i
_jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaYY UYZ_
n`OXfkllUJT\TTDfOXfOcfOLlUrYZoJFqjmK[ n`OXU
UYdAMcAVVO UaYEF
Vj__ RT__
nbbjqOXUJFfOSULlfOYOf UY_ZdHdOfUHZ
nqi^TP nJFqOP
nbYZd bPJeFbMZZ`ZZd
_jSa`ToI _i^S`To
OefO^[hXXXXXXX [hXX
_SIII`TII`Tr^ nqi^
O^U Uo
_T bPJFq^
bPe Po
V] T
CP[ bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllU
nJF`OllUJFUlT_lfOcfOXUSULlfOYOK[i nZO
_jm^SI` _i^SW
_iK nJFbHOljF
[F]]j__ RT____
b nJ
bP`OXfOSfOEM LPYHZ
UPZCbhlT_lfOY _iK[SfOcU
_SIII` GSa`_
OoPZZQOijFJFbLnY OUE_C
UaYN bP`rOGIYPXYLPTYOU
RFj____No_X bPJFqSII`TrKJFbP]RYLHYYZZZ_
bP[cUc nXUSUSUEMQNOEOrJF
bP[_lfO n[SfO
_K _jrK
_TP`cUY nbbqOE
_i^SIII`ToII`ToIII`Tm^TPJFbPZFL nbELXhLOA
[hXXXXXXXXXXXXXXXXXXXXXXX [hXXXX
UbjhL nJF[lldRSUSUL
bP[SfOG \VfDp
ULnYHO[[[fbHOKKioOcUJT\TFfOXf_OG _iKqTPqS`Tm^iKZOKiobaYEF__H
n[CT_l nJFqTP[XUJF
[SNp Vj
joI`T^P _TP
UPZYnnn OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnnnnnn
UYd UYdAMcAVVO
I _i^T
n[XfOSUSUcfOG nW
Uob bPJFqS`TmKeU
_SkT^YKbNfO O
_K _S`Tr^jr^iK
O^_T kT
_i^SIII`ToII`ToIII`Tm^TPJFbPZFLr nbELXhLOAr
n`OGbhLlUcfOSUXUllfOSfOll Ym`[OcUcfOLlUJTB
UnE UYdcArh
nqjm^jr^TP[SfOGPZ ULgYP]FSXZ
VfN\]fY VfME
bPqiMjr^jr^jm^i^T Oo
nkOJT\lfOqEFMH nb
bPqjoII`T JnYjB
_i^SWTr _SI`To`To`Tr
OoP` nLLlUJTDfOc^f
_^Sb`T bPqj
n[GHOfjF`OJFUG \U
b $
hUPZFLrh_RYPZRYbhJ bP[XfOcfOXfOEjOJ
_TP[X Ym`[OcUcfOLl
n[SfOG $
VQj_rr___ _SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j________
nqT C
ULHY _PajWA
n bPO
UHTZ _SI`TrKZOi
_TPqSI`TrKJF a
n`OcUJFUcUSUcUJ bP[J_lfOBSfOLlUXfOSfOL
[hXXXXXXXXXXXXXXXXXXXXXXXXXXXX $
_iKbaYP]C UE_CELrhSZFJVVOcAOcIVOH[
_TPqTPbY PZRSSZRYY_Z
KFed__ UOfRT]]j
n[GHOfjF`OJFUG \U
ULnYLHYLHY UE_CELrhSZFJVVOcAOcIVOH[
_SII`To`T _^eQ^S`T
Z_j nqj
_Ji^i^B nq
nLLlUJTDfOc^ bP`Oc
ISP]Y nqjm^jr^TP[SfOGPZYn
nZZQZQO[K[fQZ bPqS`Tm^i^joI`To`TmKJGFZOKf
UbJca nJF`
[S_N_]_NUoE_YEp[p[__]_Upp\ Vj
bPJH`OSf _TP`OJTDULT_lf
bbj Ub
UbjjNh n`OcfO
nZZQ nq`S_jr`TmKZ
bPbY_d__cAOHoQO nJFbO
bPJeFbMZZ`Z nbY
UESXYLnYLnY U^DM
_i^TP _S`To`Tno`Tr\
bPJH`OSfOLlfO n`OLTFU
VBfYH nJFbbjj
_S`T^SITr^T bPe^nJFqi^TPqT
b nJ
U IS
OeUU OoPbEHN
[S_UoE_AE_YpUE [S^__BUNUnNN
$ RT]f
$ OP
n bPO
neo OU\bq^`
Oe\ Rh
_joKTrK[XfOXfOS n[llUX
_gSHg`ToZ bPqTPbN
$ nbLPYE_
_BTP UYdH
_TP`OJTDULT_l bPJH`OS
ULn ULPY
Oe n[CT_lUS
KdRV OoPeoP`OSfOcULlfOGNW
n`OGN ^K
bPqS`Tm^i^joI`To`TmKJGFZOK bPZO
n[ dn
UaY $
[SUEN_SYp [Sp[
RT _\KbOfRT
bPJF`O RaY
[hXXXXXXXXXXXXXXXXXXXXXX [hXXX
ULHYY_ZZd bPbP]DRSfcArhLVrhSXYYZd
UYdHa _BTPa
UYdAMcAVVOc UYdc
OoPe _TPJF`OXUSfOQllUJFUc
_SI`To`To`Tr _S`T^SITr
_jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY U
_TP`OJTDULT_lfOLl bPJH`OSfOLl
OUpo r
N [SN__AE_B_Y
n`OXUX _i^ZO[i
Oq OoPbbhl
Oo UNfbPBTPqi^T
bP`OcUDGbqO bPJFqS`TmKeUp
fjRYPXS_ bP`OGaYES]
nW ULHYbqOYZjFJF[LTFUJFULlUEjOG
[SiDE nJF`
[i^`jr bP
ULHYN\f KdRVf
bP[GPXSSZCPXSFHbqOSUSUlTFfO $
nXUSUSUEMQNOEOrJ OoP[LTTDfOLT
[S_N_] [Y[
nJFC n
_TP`OEMQO dJ_lULlUXfO
nTP[USk UbjjqOcUc
_joII`Tr^SI`ToI` M_TPq]
_ZaDKb bPJFJF
Ug n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]Ca
[Ff [L]
O^ OTP
UN iM
$ VfNf_iKqTPqi^TPb
n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbhS bP`OSfOLT_lULT_l
UbqOXUcUEM _S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW
$ bP[GPXSSZCPXSFHbqOSUSUlTFfO
RT_ V]j_
RT________ Vj__________
_PY _TP`OSfO
OoP`OXUYO bPZOiO
PZRSSZRYY_Z ULPYY__
ULHYPZCaYPZF_Y IUY_Zdcerh_Ynn
_jm^SI`T _i^SWT
[SNUE_]_p [SN
F UHZobLnYLgY
nIFb RTf
V_SVTrK`O`J_lO [S__A
`OL nqTPJFJF`OSUl
M bP[GHO[K[KfjF`OSfOcfOY
[U RT]
mcLg UPXYa
nqTP`OSfOY nZZjUF[JTBUY
nJF[lldRSUSUL UbjhL
RT FVE
nTP[USk nqjmK[EjOlTTDfOcfOJ_l
UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQ _SI`TrKZ
_SI`TrKZ UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQ
_i^j _SI`Tm^jYo`Tr^TPqS`Tr^j
_SI`TrKZO UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQO
$ nqi^jrKJF
n`OGbqOJFfOEjOXfOJFfOXUllUc H\K[X
jm^Vi^SIH` bPqiKqSII`
Rh V]
O^ U\_Nd
$ nN
_^eQ^S` _S`
OoPJF[cUXUSUJT\TF bP[EXFUSUUEjOJFULl
bPJFJZFZ UHZoZZQ
nZZQ nq`S_jr`TmKZ
[U RT]
IS U
O $
b` Oo
UL bPba
RGT bP[GNfO^RT
UYdAMcAVVOc UaYEFc
UaYNfn ULnYbqOXfOlTFUY
VD RT]
R $
_CP O^bP
nbHlZ _SI`TrKZOi
_BTP UYdH
UEOcJAOHEO n[GP
rj bPqi^i^
nJFb bPbY_d__cAOHoQ
n`OcfOSf nTP[USkf
V Vf\
$ UNW
bP`OXfOSfOEM LPYHZ
nb bPbP]DRSfcArhLVrhSXY
bP[GNfO^RT RGT
_TPqSI`Tr pnqi^
OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnnnn UE_Y
_arKJFJjFJ [SUENN_B_BUY
bPUoI _jm^SI`To
Vj___ RT_
bPe _omToTmK
]UbhJ\F bP`OX
n[S bP[_l
bbj Ub
CP[X _jrK`OcUS
UP]FLrh_CaYa jiK[SlGX
_jm^SI`Tr^T Ca
bP`OXfOcUcUJ_l dJ_lULlUXfOS
Oe\ Rh
UE_ ULgYP]FSXZ
RT eD
OUp^_iK`OLSUGbqOEjOXUXfOE _TPbaYEFHbhLTFUJFfOEjOSUE
AN[SUW_AE [Sp[NpFS_
RT] [U
joI`T^P _TP
$ [SNpFSpFhXXXXXX
UPXSSZC RUm
UE_CP bPbaY
U $
[hXXXXXXXX [SNpFSpFhXXXXX
Oe\ F]]q
[SN [SNUE_]_p
RT]] Vf\
Oo UNfbPBTPqi^T
RMTUjnHTX UN
UL n`OERFULTTDfOYZobPZFSZCL
pnqi^ _TPqSI`Tr
UbqOXUGLPY n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUG
n`OLTFU bPJH`OSfOLlfO
bP`OXfOSfO RP[
OUp^_iK`OLSUGbqOEjOXUXfOE _TPbaYEFHbhLTFUJFfOEjOSUE
bPUoI _SIIIII
bPqS`ToaTrKbO UO
bP UHZjFe
n`OXUSU Uobp
nbHY n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]C
$ UOWfNUUf_TP`OJT\lfOEMQ
`OL nqTPJFJF`OSUl
_SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j_______ j
_S`Tr^jr^SII`Tr^ rj
UbqOll nTP[USk
_jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY U
OUE_ UE_
Vj V
Uq _TP[LlU
bPqTPJFqjrKJF`OSU n`OJ_lUkJTDU
bPqjoI bPUo
R [FfNfbPqSI`Tm^iKqiKJ
^ [Sp
_TP joI`T^P
OoPJpESXSLrhSZCLnYNfUaYN\ RT
nZZIo[l _i^SI`TmK`OL
n[llUX _joKTrK[XfOXfOS
[mlTWCfS n`OY
_S`To`Tr^TPqTPqjmK[GbjqOXfOEMQOEjOLlUcUcUJFUGa _BTPa
bPJeFbMZZ`Z nbY
nqiKbN _SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHY
UP]CPXSSXYbhEMQOXfOX nLLlUJTDfOc^
V]j____ VQj_rr_
UO neoPe
_S`Tr^jr^iK[ [SUE_]U_A
ULPYE fjRYPXS
OeUU OoPbEHN
jFNf V]f
g\ bPbY
p_TPdh`OSU n`O
KTP _iK
_ $
rj bPqi^i^
_joII` jm^Vi^SIH`
nZZQ nq`S_jr`TmKZ
Ubjjjq hUPZFLrh_RYPZRYbhJFf
UYNUF bPqTPbaYq
UYdAMcAVVO UaYEF
bPZOi bPqiK[cUXUJFfOiOiQZ
n[S bP[_l
_S`ToII`Tr^i _E
bP[EXFUSUUEjOJFUL _jmK[l
n`OERFULTTDfOYZobPZFSZCL UL
bPbE_FFcAOcAVrhLrhS] fjRYPXS_
UPZCbhlT_lfOY _iK[SfOcU
UEFcArhFHaYYd ]j
W $
QUbjqOcUSUflTfT\T bP`OYZo`OSULT_T
MhM n[lT_lfOXUG
_\KbOfRT RT
_SII`T TP[YOE
U Tf
b nJ
P[J_lUrfOcfOfOEXB nqTP`OX
jFN V]
OoPeoP`OSfOcULlfOGNW KdRV
OUp^_iK`OLSUGbqOEjOXUXfOE _TPbaYEFHbhLTFUJFfOEjOSUE
cM[hXXXe bP`OcfOE
Kc bPbYdc
OoPZZQOijFJFbLnYa OUE_Ca
n`OXUJ_lfOXf UbhULlUXfHOX
_r _i
[SNpFSpFhXX [hXXXXX
_iKqTPqS`Tm^iKZOKiobaYEF__H ULnYHO[[[fbHOKKioOcUJT\TFfOXf_OG
Oe\f rPDWZ
_TP`OcUSUGO _ipOG
nq`S_jr`TmKZOK nZZQOK
nq`S_jr`TmKZO nZO[K[
nZZjUF[JTB n[LTTB
nqj GSa`_T
nb bPbP]DRSfcArhLVrhSXY
RP[ bP`OXfOSfO
EOP U
_TP[XUJTB SbPeqiKeef_jr^TP`OllUcUcUKc
kY R
_omToTmK O^O
K _S`To`Tm^TPbaYE_RYaYaYEF_
_TPbaYEFHbhLTFUJFfOEjOSU OUp^_iK`OLSUGbqOEjOXUXfO
_jr^jrK $
nb nkOJT\lfOqEFMH
_F _i^j
bPbES VfNfBnUP
ULnYcZj OoPJ
N UN
U m
MhM n[lT_lfOXUG
bI OU
_TPqSI`TrKJ pnqi^KJ
Ym`[OcUcfOLlU _TP[XU
bP[_lfOll O^UbhJTBfOJT\T_TT\TTBUlT_TF
n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUl UP]CLnYLgYbqOLTTDUcUJTDUL
bP`Oc nLLlUJTDfOc^
[ $
T_T OoP
joI`T^P n
bPbP]DRSfcArhLVrhSXYY nbY
Z_ nq
RT____ RTj__
IS U
_ _jr
O^ T
pnqi^ _TPqSI`Tr
U T]f
_TP`OllfOSfOllfOXfO n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbh
pnqi^K nJF
_SqI`Tr^mjo`T _SI`T
IVnJ [F]]f
$ O
nP[SlfO bPJFqS`TmKeUp
_i^S`To _jSa`ToI
nJF`OLTTBfOGaYbh OW
[ nJF
_TPgOGBX ULn
nqTPGaYLnYOj Ub
OUE_Ca OoPZZQOijFJFbLnYa
Ok UHZjFe
nLLlUJTDfOc^f UP]CPXSSXYbhEMQOXfOXf
[Sp[NpFS_U AN[SUW_AEU
[Y[ [S_N_]
nJFJF fA
Oo bPqiMjr^jr^jm^i^T
[SUEUp_pp[UEUU [S_UEUE
OkU _jrK[YZ
_i^SIIII`ToIIII jm^Vi^SIH
nBoP[ _i^i
bPZO[Kioqjm nqiKqjQ`
_TPqSI`Tr pnqi^
UbhcUJT\l\OllfgGaYLYO _i^i^jmKbN
n[SfOl bP[_lfOl
n`OERFULTTDfOYZobPZFSZCL UL
SU [SpFSUE_]NUENj
_TP[cfOXfOlTTD [S_YoEh_]__
UaYNfnZ ULnYbqOXfOlTFUYZ
FVE [F]
[S_ [SUE_]U
bP`OYZo`OSULT_T nJF[cfObjqOSMQOJFfOSU]SUXOEXT\X
n` bPO`
UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQ nZ
bP`OLlfOEjOS n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUll
_SII`T _SqI`Tr^mj
[Sp[pFh [hXXXXXXXS
_SI`Tm^jYo`Tr^TPqS`Tr _i
bPbY g\
nqj Z_j
CP[ bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllU
UYe]RSLV _jmKJFbE_FL
] _S`Tr^jo`Tm^TPZ
_ld Oo
$ UOfn
n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbh _TP`OllfOSfOllfOXfO
RPN UaYaYO
$ _in
_i _r
bPbYd bPJeFbMZZ`ZZd
n[EjOEMQOLT_TTDfOlTT\lUGPXYNUfnqiKJFJFb UE_CELrhSZFJVVOcAOcIVOH[
Oo UNfbPBTPqi^T
bPbYd UYePBh
UbhULlUXfHOX n`OXUJ_lfOXf
[ OUp
nqjoI`TrKqiK`Ollf nqTPGaYLnYOjq
_iKqTPqS`Tm^iKZOKiobaYEF__H ULnYHO[[[fbHOKKioOcUJT\TFfOXf_OG
\UH n[GHOfjF`OJFUGH
mcL bP`OLlfOlTTDfOEXFUGL
nXUSUSUEMQNOEOrJ OoP[LTTDfOLT
UbjjNh n`OcfO
UbjhcUSUJ_lfO p_TPdh`OSU
IVnJ UOWf
nb bPbP]DRSfcArhLVrhSXY
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP UbqOXUGLPYP
i nqTPeef_TPqjm^i
j____ RT]]j_
n[CT_lU nJFqTP[XUJFU
kT O^_T
dUaYbEO U
[U RT]
_TPbbjqOllfO nLFUFbbh^
_BTPa bPZOKijFbYdHEFHLH
RT_______ RTj_____
n[CT_lU nJFqTP[XUJFU
_NID _jmK[YOKijFqjm^S`
_iKJF`OLlUcUEMQOXfOXUXfOJF bP[_lfOll
bPqiMjr^jr^jm^i^TPJ _jr^jrKJ
bP[EXFUSUUEjOJFUL _jmK[l
_jmK[l bP[EXFUSUUEjOJFUL
Y _jrKqjmK`OXUJFfOSULTFUXfOJFUJ_TFfOSfOXfOGNf
R kY
Uob bPJFqS`TmKeU
O^R r
_TP`OS bPqjr^jmK[UJE[ULT_
ULnYLHYbjjhJ_TTBUGO nqiKXUJTB]OGNUk
bPe^nJFqi^TPqT B
bP` bP`OSUXoOXlnUSJ
V]f jFNf
O^bPe bPVFJFW
ULnYcZj nJF`OEjOYOfoqiKJ
bLqjrK bPqTP
E bPZ
SbPeqiKeef_jr^TP`OllUcUcUKc Ubhc
nLLlUJTDfOc^ UP]CPXSSXYbhEMQOXfOX
FPqSIIa`TmKJFKbjhUqSfOSUGaY _TPbaY
n OMpV
T V]
Oe\fN bPqS`ToaTrKbO
bPZOi OoP`OXUY
bPZOi qq
bPbHOijF[XUcfOGPZYn P\
bPba UL
_Srr^i^ _T
V]] T
_TPbO [
_iKbP]FFH $
[SUEUp_pp[UEUU [S_UEUE
H\K[XU _i^TP[SfOXUcfO
nZZjUF[JTB bPJF[llUEjOSfOSfOXfOcfOEXTDUXUlT_T_TFULT_lUc
UYdHYZdHOU [
$ O
bP[GbqOYZoZO nJFqSI`Tm^`OcfOSUJTDfOGLHYOfnJF`OSUYO[
V Vf
]ngZjOEq n[GH
n`OGN iM
_SI`Tm^jYo`Tr^TPqS`Tr^ _jm^
nbaYbjjqOLlUlTTDUGO\fN `BSnHc
_TP[XU Ym`[OcUcfOLlU
nJF` UbJca
Ym`[OcUcfOLlU _TP[XU
bP[_lfOll _S`TrK[LlfOX
bPbP]DRSfcArhLVrhSXYYZ bPbY
n`OEjOcUSmYZjFJTBUEjOYl UN
$ UOfn
_\KbOfRT RT
B _SII`Tr^T
n[CT_lU n`OEMQO
PZRSSZRYY_ZZ UYZ
$ nbLPYE_
nZZo[YO[ nq`S_jr`TmKZO
F_SKePK _SII`ToI`TmK
_ipOG\ V]]
_iK[SfOcULT UPZCbhlT_lfOYLT
ULPYE fjRYPXS
bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII` _iKqS`To`
_S`To`Tr^TPqTPqjmK[GbjqOXfOEMQOEjOLlUcUcUJFUG _BTP
n[Sf bP[_lf
Oe\ Rh
bP[_l n[S
UaYPXSSZCELVVrhS]C nbo
Z O^
$ _TP`OJ_lUGOf[F
[SNpFSpFhXXX [SpFhXXXX
_SI`Tm^jYo`Tr^TPqS`Tr _jm
UE_Y IUY_Zdcerh_Ynn
`NV O^O
mO UbhEXTB
_TP`OcUSUGO _ipOG
EPWb bPJFe
n[SUGEFHYdHbqOEMQ fV
nZZo[YO[K nq`S_jr`TmKZOK
_ _^eQ^
pnqi^K n
ne^_TP[ dn
Oo UNfbPBTPqi^T
UbhEXTB mO
_iKqSI`To` bPUoI`
CP[ bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllU
_jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaYYdc UYdc
`E_ nq
UaYO q
_TP[X Ym`[OcUcfOLl
pnqi^KJ nJFJ
` $
b` Oo
OoPqjr^T Wo
bPJFqS`TmKeU Uob
_SkT^YKbNf $
_S`T^SITr _SII`Tr
nqi^T nJFqO
_K nJF
bPbP]RS n`OcfOJFfOLlUEXTBUXfOGaoYES]FSaZF_CLgYE
bPbY g\
_TPb FPqSIIa`TmKJFKbjhUqSfOSUG
_TPJF nJFqOP
nJF OMpV
V]j______ Vj]j_
_i^TP`OLlfOJFUGOfbP JHF
UP]Y ULgYP]FSXZYn
nbrHf UbhJFfOXUllfOSUEMQOLlfOGH
dH n
UnE UYdcArh
bPbY bPJeFbMZZ`ZZ
_jrnK`OllULTFf UaY
[hXXXXXX bPJFbbqO
n[EjOEMQOLT_TTDfOlTT\lUGPXYNUfnqiKJFJFbE U
RP[ bP`OXfOSfO
bPJH`OSfOLlfO n`OEjOcUXU
Rh O^V
neoPZO bPqS`Tm^i^joI`To`TmKJGFZOK
U nIFb
bPJH`OSfOL _TP`OJTDULT_lfOL
b _SI`TrK
nWb n`OGbjjhJFUllfOEjOcfOGbj
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUG UbqOXUGLPY
_SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j___ RT_
bPqiMjr^jr^jm^i^T Oo
[ OoPZZobO
OoPbXJ RTf
UNW Rn
bPq $
hUPZFLrh_RYPZRYbh bP[XfOcfOXfOEjO
E _jm^i^TP[JT\lUJT\lfOcfOSUXUSfOYZQ
bP`OJT\lUSUXU bPDO
ULnYLHYbjjhJ_TTBUGOf o
bP[_lfOl bP`OJFfOEjOcUEX_
_TPbbjqOllfOGE nLFUFbbh^GE
UELVrhS]Y OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn
UP]CLnYLgYbqOLTTDUcUJTDUL nP[S
hUPZFLrh_RYPZRYbh bP[XfOcfOXfOEjO
FPqSIIa`TmKJFKbjhUqSfOSUG _TPb
UPZYnnnnn IUY_Zdcerh_Ynnnn
_iKqS`To bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII
_i^jo`To` $
VfNfBnUP UYdcArhS
[S_ [SUE_]U
bPbaY] UaYESZ
n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUll UP]CLnYLgYbqOLTTDUcUJTDULl
pnUp UYdcA
_TP`OS bPqjr^jmK[UJE[ULT_
Vj__ RT
bPUoI _joI`To`To`To
JFF _jr^jrK
_i _SI`Tm^jYo`Tr^TPqS`Tr
_omToTmK bPe
O^ `E
_jo`Tm^TPbPZ ELnSg
bPbLP OUE_Ca
V] T
nJF[lldRSUSUL UbjhL
ULHYY_Z bPbP]DRSfcArhLVrhSXYY
U OU
jm^Vi^SIH` nqS`
nbY UH
_Ji^i^B _jr^
UPZYn ULgYP]FSXZY
bPJH`OSfOLl _TP`OJTDULT_lfOLl
V]] $
[` _S`ToII`TmK`
ULPYE fjRYPXS
n`OJFfO nqjmK[EjOlTTDfOcfOJ_l
n[S bP[_l
OoP`OLTT\lfOJFU dJ_lULlUXfO
F_SKeP _SII`ToI`Tm
$ V]
^E[O UHZo[SUG
_i^T nJFqO
UbjjNhY n`OcfOY
