25628
FJJ[S\E \]`KW`^L]`SJLUWYedVDeS\EjLejeE
UXl ALQ\LIDPT[i_O[KT\hF_klmmWm
f \]`LHTQm
SOQl \HH\ZKTTJkSRVl
IQKT $
fRX \UPZ
eM[EW]SJKTUVeFkP SOhP
A [RQ`P`SJ
WfYe AKT[hk
fYDDOLQlmmWW fYklm
\UXXGae[Xkike[P[P UPnXke[P
fc]`[ JkpJ[SJKTUXXpa]`SW`SJ
UPq[P[ UP
SDedW_LQX [RkR
\[a`^a`^LUnSJLUpaHaHTJJ J
Aa` Q\]`
FJJAa`SW`SJKTfYedX\Pl\ JJAKTAVEhS\
UNli O]`DSW`P`^LQPiPE
FJJAa` AP`b
EQplom SeLbkh]Dkl
fn^a`^P`^KT[PbM\ AaT^KTfKPlMe
[Rkc]`SW` fchRkKLg\IdPTPTPT[iR]THg[\gPTPTPT[\gPTPTPT[WNIdPT[iFkRWn^P`
\HTJ[SghoR``To_DkRGXke[P[P[aq[P[ic[aq[ic JGjP[aikq
\hh_OQ\FFkn^a`^L[L[J[ \]`SC`SJPM
SDO]`S AiKDO[P`SW`S
JkYDeLHIDT[i iUh]DDeFQ
QLUVDDkGZlP[Xq UNNGP[ai
fKJS\Ej\Ejr \hhFkKSg
JkNn^KTZRk SkTSDE\LbFk
AP`SW`SVJP`^KT[ fYDOh
[F oFJ^K\hHgi[i
[dWc]` \]`^GP`SW`
FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[ai fRPic[P[ai
Zf [Rk
JkKT $
fpL[L[KT\Q\ ]H
FJJAKTFNJJkRGP[P[P[ [dPpl
\U \hLHIOToH\i]DOhd
\hSQ` UWpGhhR`]]`
JkoVeL \hPl\jrh
[PbV_SSnS AKTSePb\jQ]`G]obV_
UGZOPaq[kP[P AKTSOUX\dGXke
p $
UPe[e[ic[Xk JkGP[P[Xk
Aa`^LHahhjIDT[\IOTPT[\gPTPTPTPT fpa`^KeSFjj\g
QLUVDDkGZlP[Xq UNNGP[ai
\maQ FJJfYk
FJ\LH \H
fYeSQ]`]`THIOT[\gPT[ijZ\jIDT[\gPTPT[ijZ\RTPeEje \hS
\hdNIO]` fpJ[
UPXkq[Xke[ZT AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTD
AKT\HHJJk JZb
fN SDkRNO
\] SDDO[UP
SDO[LHahdGa JficZP[a
fYD cS
JkYkXXTVlEDERpaHT\ Aa`^L
\[KT[h \[P`JKfUWokh
\oNlZTkXVO FN\
SeF]O\Lbjg[iR``Tr [PbGob\jg
JkKdpHJ ACP`^KIAa`^a`^KT
LAL[J[ SDeF_DO]`^KT\Ha]`
SOhRkc]`^P`^a`SJa`^LhhR] \hRFkRpHGJ[PbeQ``]
SDk UWnSW`^Q
fKLb] fBNT
\UNTDDO[P`SW UkNa
\UNOWKP UWK
hhOHaUXlmemmmmm UNTkRXlmWW
I AKTJkpKT
FJ\L Sk\FFkYeRkYO
JFNl[a`^J[^P`^KT $
Upa[J \VP`^WKTA`
\QXGi[Xkq[DP[ai SeLPrhbkdGX
AL fGXkq[Eq[ZOHH\HIa
fY\kXpn fKRkRpH\HT
[LPrhojDT[ikLoEh [SQ]Tb
UpHUpacUpTJ[J[SJ fcUpH\]`^a`SJP`^
UNNn LAL[J[
E Sk
JkRPae[ZX UpahFF
SDDk\Plg_]G_FeQ]TPghg fpa`^KeSFjj
JkRVO]`^LUNNn^ SDOH
JQkpP Aa
SDkXNXXp H`]`^iT\
FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[aike UWRNXRGP[P
ALhhkF_edNTO[J[SlaJa`SW`^a`SW`di AP
\hhjIOTPT [LIOrTPTPTPTPT[\IDT
FJJAKTFNJJkRGP[P[P[ [dPpl
\hRkRXRWKdPae Upa]`VLhdNlaiLe[Xke[aikeXkike[Xkq[aq
UGiPEc[Xkeai fcQRpa[LUPXkiki
\QXGi[Xkq[DP UPic[P
FJJAKTFNJJkRGP[P[P[Xk [dPplXk
kpP^KqfYO[LHHJUpT\ SO
SO]`SJL FNJE
OFW\Y]n^KTS S
fcQRXRN ATUVp
ep`aSQTrDgVkDg UPP[ZlXkike[P[Xkq[ZXTVlDTrDg
SklImmmWWWmmWmWWB FN\QlmWmmWmm
]J\ [hjW\k
kGZOWnSJKTAP`^P``^P`^KT fpa`^a`SW`SJLHT
\]` SOUpT\HM\Ha]`SW`^a`
FJJAKTFNJJkRGP[P[P[ [dPpl
SDeFR [eQ
\UNX JkcUPXke[ZTOhFkh]jDk
FN\]`SW`^P`SW`SW`SJa`SW` \[IKTUVDeh_O]`
\\hLo_OQHH\QTN SDkRVkTclDg
UPNnCW JkpJ[SJKTUXXpa]`SW`SJP
MVO]`SJFBP JkcHHJ\]
JkYeRkYOUNOXVhkSeE [dVeFkSYEj\E
SDO[KTUNXRNXRNNchhkSQ` UGZNchWG`````oloR]Tod_eFR``
XdpV FNJFN\
SOUNlP[ZO FJJALRUpHJSOYKT[FkR
\hhjIOTPT fpa`^KeSFjj\gPT
\hRFkRpHGJ[PbeQ``]T SeSQT
A Aa`SW`SW`^P
d $
hhOHaUXlmemmmm [Lgi_klWWWmW
[W\j\Ej UWKSkYEjc
fKF_egl UNX\SYEjQTokPl
fKF_eg UNX\SYEjQTokP
[RkKLg\IdPTPTPTPTPTPT[i]OQlmmmm ALQ\LIDPT[i_O[KT\hF_klmmWmW
ATfKZX fRWKPliP\EjghokLbjW\jIDTPTPTPTPT[\W\_k
FVJFN\] SO]`^P
AnHJfnS]` fn
fGP[ae fGiPES[P[ic[ap[P[iP
SDeF_eWeM FNJSeejQY
JkcQ\dVO[J[SJP`SJJ[^KTSDDe [dKeRkK
SkRPZONTehj FN\QRWKhjIdPTPT[\Z\jgPTPTPT[\gPTPTTL[\X[T[_ehR``TH
f \]`LHTQm
Jmk \Q\RkcHTJJkRN
SDO]`^L]`SW [P`^P
UGXk[P \QRVDOUGic[P
SOQlm fGXleWammWmWm
[h]ehjIDTPE^T JkKSrhbjId
FN\QXVOhdVOMKTSeSYE [SeEjeEjYEjeE
Aa`SW`SJ O
\hh ScDePlV_F_S]FeM]olib
UWn^a` ALhhkF_edNTO[J[SlaJa`SW`^a`SW`di`^P`
P`^KT [FFkRpHJ
fKPbi Sk\LgIDTPTPTPT[\Z\RT
fDiegR \UVDDeR
fc]`[P JkpJ[SJKTUXXpa]`SW`SJP
JkNn^KTZRkG fG
[F]edpTJSD FJJSX
FJJFJ kXWGZTkRpH
\QTrDElm UVeFjg[[ijIDTPT[i_DQlm
A [
Sk\ V[
[h JLbR``Tg\IDT[i
SOh SGUd
fchdITmehjgPTPTPT[i [Lo
UNOGae UPnXke
UXXVOhFRo SDp
SDO[a`^KTfYe S[Rkc[KTJkKdVe
\hRFkRpHGJ[PbeQ``]T [dNNYOQ\L
\]`^P`SJJ[SW`SJ JkYO[h
JkGic[ UXIVkXP
[dWGP[ZOXT \]`SJ
FNJfKhFkRKFkn[SW`^P`^J AP`^J
[Rkc]`SW`S AL]`SB`
U]Ric[aikq[ae[Zlic[aq[P[i AKTSO]`^P`^KTfn^KTFNJFN\HTJfGae[iPEP
FJJ\hdGZTO[ FJ\HaPc
SDeSYEjeEjrhP Aaa`SW`^KTJkchdXRGZONNnKTUNNBSc
ep`aSQTrDgVkDgV UPP[ZlXkike[P[Xkq[ZXTVlDTrDgV
fn^J FN\[CT`^J
ARa\WdP \UG
fDkRGXkq[Xke[ae[ic[ JkRPic[Zl
SeRkGaq[iPEc[aq[a cFdiUPaq[Xkr
[Rk $
fKW W
fGm[i SedGXke[i
JOQXIXlmmW [PloFkRXlmm
UPZ fGiPES[P[ic[ap[P[iP[Z
\[P`JKfUWokh \[KT[h
[Pb FJJSk
UPP[Xkq[ZOWnSW IJkpP
AJ[ FD\[`^aTSW`
JkYkTrDEXXRGP[P[ UPe[e[ic[
\]`^a`SJL]`SW`^LQRGZTOQRNNn^P A
fpL]`SW`^J[^KT[RkcHHJ[ AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTDDe
gXk fcQRpa[LUPXkik
fKXXPP[JP UGaq
JkYDk\Sgmjq ALhSmjq
SDOhLg\Z\kWG [jPlp`]
kXWGZTkRpHJ FJJFJJ
g[ \[KTJk
UGae JGjP[aikq
fYehRoleQobG [LP`]
UVePlG]THW\khk PUOYRVDe
SePlGobr AKTShPbg
UVDDDDkRWnSW`SW`^LU \WGYDDOQnXXR
FJJFJJ kXWGZTkRpHJ
UPP[aike[aq[iPE UNTk\dPimPE
UpaQ\R FJ\hRkeKh]OhR
`NJ[Plo]OQ FN\QTrDE
[W\jeEjrhP\EjYEjrmj SDeLg\W\_DePlMmjq
Aa`^LH JkYkXXTVlEDERpaHT\H
[LgikRkYeW\j\EjQoloF J^
UGZNchWG`````oloR]Tod_eFR` SDO[KTUNXRNXRNNchhkSQ
FN\UNTebo FNJSeF
[SQolG] SOih
fYDO KFN\`^a`^L
[h_DDDDk [hR]Tb_DkTS`DTrDTSDE
[ \
[eQ SDeFR
\]`^ ALhhkF_edNTO[J[SlaJa`SW`^a`SW`di`^
fGlk_ UNOGae[P[Xkik_
W fKW
FJ\hFOhdXTc SkTc
UWKh [FjICYT[V
ep J
SOh Uh
jUGA fG
Se $
AL[P`P`SW`^ab`SW`^KT[h] JknSJKTS
ScDePlV_F_S]FeM]olib_ fY
SOQT JkGP[ZXTT
kGZOWnSJKTAP`^P``^P`^K fpa`^a`SW`SJLH
[Plr_nF\jgmjq SDeLg\W\_DePlMmjqqq
[FkWV_] [h]ehkFRolaG``]```]olV_
UPq[P[aq UGXke[ZNGic
JkKSeEjgm [Lhj
\]`SJP`^K FJJUWpP`SW`^LUWSJJ[SJJ
SOUG UPq[P[
$ [RkQB
RnSJJ[^LhPlojIOTPTPTPT[\Z\FkRVeN [hFkn^KT[
[gFRTHD\]OQG [F]kXVkXP
AKTFNJJkG JGjP[aikq[
SDehkLgikFjg JkpP`^a`^fTUWKPbibjgPTPTPT
JkYedNlXke[MZO U
UPic[ae[ZlZTDeLbR```o P
FJ\[a AKTJkpLQ\PbcToFkRO]`SoW
FN\[L]`SW`SJLHTUV fYDD
[P`^P SDO]`^L]`SW
fKF_eg UNX\SYEjQTokP
SDeSghP\Sj SeS
U`pT\ UVO
ALQ UWVqDCk
\[P`SW`^L] \^`SW
JkRVO]`^LUNNn^ SDOH
UNWK FJJ\[KT[
]UmA SkRVkRP
UX\LbPkP [P
SOR[KT\]`^ReKTfKWe [SeEj
SO ALHH\]`SJKTJkYOH
SDehkh_edVk\ AKTfHRPP[lZli
JkKdpH\]`^L fcj
FNJ\QXTrDEXm UVkRXTS
FNJSehjgPTPTPT [h]ehjIDTPE^T
TAa`SJP`SW AL]`SJa
o A
UmTrDED\Pp UpHJfRWYeLPYE
LAL[J[S SDeF_DO]`^KT\Ha]`S
[FR [dX\h_kXWchhkSQ``]`TPeEjAeEj\EjQ
fYDedVkRVe RnSJJ[^LhPlojIOTPTPTPT[\Z\FkRVeN
fn^a`^P`^KT[PbM\EjrhX JVQkKhkdXaS\E^jQ]TX
FJJ[dVO [L
Skl[GWW [RkYDOQlWmW
JkKT $
^cjg[iR`obG```]K``]TP fKh_DkXpHJFJJUX\SeEj
FJ\UWKh J
FNJSeFRo hfKP
AK Aa[`SJK
FJJAKZETFN\QRVO[KTUGP[ZNGiEPEc[Xkike[i[P[ZT \UV
UGXk fpKTUGP
[lb_D S
FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[ fRPic[P[
JkYOUWKLg [PiRg
fYOHJ]`jS JknS
FJJAKTFNJJkRGP[P[P[X [dPplX
UkNa \UNTDDO[P`SW
fYk\Lo n^L[L_HT]hh
fGEP UGP[Xke[iPEPEP
o\UGXPM JkGP[Xkq[P[ZlXk
SOHa[a`SJ MVO]`SJFBP`^
UGai\ fGa
J fYO
\UVDDeR fDiegR
\QRNlZlZT JPk`Y
SDklmWmmmm FJSklWqmWWWWmmWWWm
FJ\HTJ\QlWmWmWWmmWWWWmm \kYklW
Aa`^P`^P [SrhPrho_O]`SJLL]
UNlP[P[ic[ZlP[Xke[Xkq[Xke[ g
AKTUPic[ UGiPEc[Xke
[LPYE SWWiP\E
P`^K\hh] fpa`SW`^KTS
UNOGP[Xkikikike[Z [PbeMTKijgPhT[\W\_ed
[Fjg[ikRkRN \[KTGXkq[iOc[PLZ
fpLQ\SQ`o FJ\hLo_PeP
I AKTJkpKT
fc]`SJP`^P` A`
JkKpdN Aa`^KTfGZ
\hRkNWG`oliHgPTPTPTPT[i FJJUpahF]OHahh
Jkc[L]`SJKT l
UNNc[J[ fKdWn^a`^KTAP`S
fGP[iP N
fRWKPliP\EjghokLbjW\jIDTPTPTPTPT[\W\_k ATfKZX
o\UGXPMe[i FJ\UPi
FJJAa`SW` fcRUNlXkeNKdX\F_DX[KTFJJSkRpahdNlZOWnpP`
[h] JLbR``Tg\IDT[i]
FJJAP`^J[^KTA AUTFJJA
FJJAKZETFN\QRVO[KTUGP[ZNGiEPEc[Xkike[i[P[ZT \UV
fYOQRW UXRpHJnf
ALHHJ I
Jkc[LUNX\FkSYEj\EjeEjYEjrhbRTojg[iFkYO SDeLg\Id[\CdPT[\g[iFkc
n^LQXVO \
UpaHT\hd \]f`SJP`^a`^LHUJU
AKTf UNB
FJ\ FJdJ\M
Aaq`SW`SJKT\UpaUNNRVOhFqkSeEjghPYEjeEjro_ \UVD
fYDDeWr \HhPloR`obGolr
AIP`SW` A
\[Le[ FJJAa`^
jP [W
Sk\ \[hhk
\UWYDOF] fpa
fRWY N\]qka`^L[KTFJJS
\Hf\QGkE[ fGZONlic[Xke[aq[
[j\ [SeE
FJ\]^ FJJfRWYDDOHHJAa`SJ
fGP[ZlP[P[iPEPEc[ae[ic[Xkq[i ic[iPE
FJ\HH _J
\g`hJa` \Ha[P`SW`
f `UpHJfRX
fcQXW_cUpT\ [Lgi]O
lSBEjQ SehR]`]`]
UVeV \HaHaQ\Lb
$ Aa`^
UGae[i JGjP[aikq[i
UXT SkTrDVlD
AL [L
kRPZTkXPZOXhYkdGQeP[Z \UNNGaikq[ZlXke[Xkq[Z
fLYDORPaq[ JkRGaikikike[P[
UGPo[ZTURkYDDeSeEljnhg\g[\ \]`SW`SJKT\[a`SJKT\hFj
UXTe JkcHaHahRkYkTVe
SmDe_eLHW\FkKRkUdVceW\j [S
FJJ[S\ \]`KW`^L]`SJLUWYedVDeS\EjLeje
U UX
\[KT[hkW [SeEljQ`oc
SO]`^P`^LUN DUVkRVOQRN
JknSJLHaU F
\hLPYEjYEj \]`KW`^L]`SJLUWYedVDeS\EjLejeEj
UPP[aq[ZlZTOHT\hh]eFjgP APSW`^KT[LHg[\gPTP
APSW`^KT[LHg[\gP [FjIDT[\gPTPTPTP
JkpP`^a`^fTUWKPbibjgPTPTPT[ik \hRkpKT[
SOhRkc]`^P`^a`SJa`^LhhR \hRFkRpHGJ[PbeQ``
[dPfZlNXkikq[aik_ke[Z \hdN
fRWnS BO[J[S
SDklmWmmmmWm FJSklWqmWWWWmmWWWmWm
Q JkRVDkRX
UNlP[P[ic[ZlP[Xke[Xkq[Xke[ g
\ ArXqa`SSJ
\UNNGaikq[ZlXke[Xkq kRPZTkXPZOXhYkdGQeP
JkYDehjW\k [U
J SOUGaike[Xkik
fnSJKTUNlae[Xk fLYDORPaq[Xk
JkRGic UNNlP
JkRp \[a`^a`^LUnSJLUpaHaH
AKTUpTJ[PbK RYK
\QXWGiPEc[Xkq[ik[Xke[Xke[ae[ZNYD FN\QXVD
fc[P \]`^GP
UVDDeLHWUEkSeEj [S
SOQlWm \fIlm
\QXWGiPEc[Xkq[ik[Xke[Xke[ae[ZNYDeW FN\hLbkRkKPl
SDOQ\RkYOhMF SeLHgPT[i
JkGXk SpUWGZXXXRGZlP[P[Xkq[XkNke[Xk
FN\hLbkRkK eM[EW]SJKTUVeFk
UHJUpa`^LUKX\F [Lgi
SO]`^P FVJFN\]
fh [FFkKLo
HfnSW` fn^P`S
UpH\UW SDeFFOk
[Rkc]`SW fchRkKLg\IdPTPTPT[iR]THg[\gPTPTPT[\gPTPTPT[WNIdPT[iFkRWn^P
[dVk\AlQTdPg \hSeEjr
fKh]DDk\ fYkp\
JkpJ[ UX\SrQTgQikdNTOHa[P`SJP`
[PlibFkGZN UNNE
FWNhLP\EjghKh [W\jgm
SOhFkF_Dk fmk
UGP[ZTOhL \hSEjQT
oFJ^K\hHgi[ij [Fj
fn^ SDDO[U
`UpHJfRX f
Uh SOh
UGZNchWG`````oloR]Tod_eFR`` JkRNONTedpHJAKTfRNX\SQ]
\HHJ\UWc [WPG]To_O[L]`^a`\J[^LUpH\Ha
Jkc[KTAKT[hFkGZTkTrDTSDTr [Sgm
JkcHHJFN\QAGP SeRkGaq[iPEc[aq
i\ FN\
[F]kXVkXPZ XAAM[SSX`SJKTU
SeF]O[ FJ\HaPc
SDk\F]O[KT FJL
AP`^LP[LHVHJ FN\[P`^LhPlibFkRGic[P[Xkq[aike[ZNKhkhFkc
JkGikikikq[Xkq[ FJJJkG
A FNJfKhFkRKFkn[SW`^
fYOUVOGPPbMghbR`T [hR``T
Aa`^L SOV
fGP[ [dPplXke[
\hRFkRpHGJ[PbeQ``] SOhRkc]`^P`^a`SJa`^LhhR]
UGiPEc[Xkea FJJUPa
fRWY Sp
UPnX UWpLHTJfGXke[P[ZOGX
U FgN\U
[FjICYT[V UWKh
S[Uc[m JkRP
UWYeFjIDT[ikFkhkL SkRKS\Ejr
[RkpL]`^LhLo_OhLoRobg_nn [h]ehkFRolaG``]```]olV_]
JknS fYOHJ]`jS
SDOQ\RkYOhMF SeLHgPT[i
Se Seok
lSBEjQ SehR]`]`]
LAL[J AJ
Seh]DDD q
$ hFJ
ZeJk fcUVDehkRk
SDeS\EjQTbjZ\k V[
Q\] JkKSrhgiFknSW
\[KTGXkq[iOc[PLZ UXTSDEXN
\]`SJP`SW`SJP`SW` bkYOHTg\]`SW`
fcUNXUpakhhRobV_SY]n SePlGobr_
fGXleWammWm \QlmmmWmWWmWm
FJ\ [L
UNXXWcQTVk \`Tr
gDDk\S\EjcA [SQ]]]``]T
$ UWnSJKTFNJfYOUpa
$ mrS^DO
\[P`^KTJ UGP[Xrq[aq[icZEOhFF
MVO]`SJFBP JkcHHJ\]
AP` VFF
UGZNchWG`````oloR]Tod_eFR`` JkRNONTedpHJAKTfRNX\SQ]
SOhLbRobG]ToFkpJ[ \]`^GP`
VFF \HH\]`SW`SW`SW`
[dpa [
rY fY
FJJJkRXRXlmmmmm JOQXIXlmmW
FNJ[J fRNO
[RkcQRPP[im UGi
JficZ [dPXkq[Xke[P[P[P[P[
fYkXWYQNUGa UpTJUWGP[Xkq[Xkike[Xk
A FJJ
[dVeFkSYEj fKJS\Ej
\QRVDDDDO[a`SJLHT\[a`SJLHTJfKSr UpT\CHTJ[SOEjr
S \[LKUNTeF]
\hdNIO]` FNJFNJ[PloFkc]`
SDDO[UP AL]`SJa
[ \
UXT PkT
FN\UWc[ \g`hJ
UaG UNONlXkikikike[
JkYDk\S AKDSDDO]`^KTAKTUVDeWM
Y\HHJAJ AJ[^P`^J
UNX\WMQ okn^a`^P`SJLhhR``]
\UV FJJAKZETFN\QRVO[KTUGP[ZNGiEPEc[Xkike[i[P[ZT
FJ\hS \]`KW`^L]`SJLUWYedVDeS\EjLejeEj
AC`S \HaHa[P`S
fY qS
\Q\RkcHTJJk S^kV
\UU]ePl FJJfYDOhPl
[Fm`TX Sk\LX
[P`^P Upa]`^P
FJ\hF_k\WeMTokSYEj\EjQKlK JkYO[KTFN\]`SJLhWKVV
FJJfKWGTHgPTPT[ [PiRg
\QlmmmWmWWmW fGXleWammW
FJ\]`SJP`^K fKD^
fcUNXUpakhhRobV_SY [Wr_]
UNlaike[Xke[ZOpTHa[ Aa`^a`^
UXl ALQ\LIDPT[i_O[KT\hF_klmmWm
[FjIOTPT[imS[ \]`SJP`^
UPnXk UWpLHTJfGXke[P[ZOGXk
\QT JkKTVDDokTSDg
UVDDDDOUVO AHa]`SW`^L
AP`S JkcQXVOK]`SJJ[S
fGic[ZN JMp
E UpahL
Jk fRVr
AnHJfnS] Aa
[FjICYT[VF UWKhF
\HH\h ArXqa`SSJh
[FjICYT[V UWKh
\[hhk Sk\
fKhFkKF]edXRWK AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTDDe
fKD^T FJ\]`SJP`^KT
JkcQ\dVO[J[SJP`SJJ[^KTSDDe [dKeRkK
JVQkKhkdXaS\E^jQ \UXRWcHHJUPZlZTk\h]Dk\LbkF]k\FR``
fKP U[pH\hWMehEjYEjQ`]]o
A[ Jkpa`SW`^L[KTAK
FJ\LH FNJFJ\QRp
JkGXkikikq[Xkikikikike[a JkePlg_JnnFiHg[ijj\FkGa
SDOQXUQ U
[LgikPb\j \]`KW`^L]`SJLUWYedVDeS\EjLejeEj
FJ\ FJ
S JKrkH
\TJ[ [
fKJS\E [dVeFkSYE
Seh]DDDD qD
FJ\UWRXXGXke[ZXRWpKTSePleMob SmDe_eLHW\FkKRkUdVceW
FN\QRpT\]` SDk[\RkRNTO]`
FN\UMWcn U
fGic[Xkq JFkGP
Jkchh]eRk \UNNKTf
FFkRpa]`SJ Upa[a`^
FNJAKTfRWpa`SJa`^KT\hdVO[P`SW`SJa`^a`^ SkRGZNnSm`^
SeS JVQkKhkdXaS\E^j
[FFkRpHJF P`^KTF
JkcUN AKTfHRPP[lZ
FN\hLbkRkKP eM[EW]SJKTUVeFkP
UWKFkLokhR`obr_SSn mLQ\Wg_
UNNKhRobo_kRW YSOUkHW
UWpGhhR`]] \hSQ
AKTSYEj [Pb\j
AKTFNJ\HT\HallSm \[KTfcUXlmm
UNlZNcQX AKgTU
SDDkXPZT UXRpHJnfY
UP AJ[SJKTSk[XGP[
PkTSD SkTVlD
SOUNlP[ZOV FJJALRUpHJSOYKT[FkRV
fYOQTc \Q\D_\Pl
fRPic[P[ai FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[ai
ALUWRVeFkSghHIOT[i VFB]D
JkKdpHJ ACP`^KIAa`^a`^KT
FN\[P AKTJkpLQ\PbcToFkRO]`SoW
iUh]DDeFQ fRNXXVOQ\Lb
Q JkRVDkRX
AL[a`^KTFJJ\hdGP[Z AKTfHRPP[lZ
[Rk Zf
FJ\[nTJkiOUVeF] S
[h]Dk \QRWk
q[ [
fRpTJWWokPloR`q```T_YEj JkKLP
FN\UWRXTclDgck JkKTVDDokTSDgr
UN lWRX\jW\_D
[FjIOTPT[imS[K \]`SJP`^K
\QXPZONXRG ALPSh_OYHJY
ALGiQ_h_D[L^GZ fRVkX
UGZlic[iPEc[iPEc[ZO UGP
SO[P`SW`SW` Aa`SJ`
o\UGXPM JkGP[Xkq[P[ZlXk
Sk FJ\[nTJkiOUVeF]k
SDO[a`^KTfY S[Rkc[KTJkKdV
m\hi Se
\hSQ UWpGhhR`]]
\TJFNJAL \
AL] SOH\J`SAP
[hR]TokSeEj JVQkKhkdXaS\E^j
[WG]or UpahS\EjQobr
aFk_RTo FN\UWRWGic[iPEc[iPEPEc[ZNKh
AKTf WfYeRk
[dPfZlNXkikq[aik_ke[Z \hdN
fpa`^P`^P` FJ\[KTfGXkik[ZlP[icc[ZNn
FNJQFJJUVDO]`SJKTS S
\^`SW AP
Sk ffnSJLQ
f g[
\ SOQ
AP`SW`SW`^P`S Jkkc[PO
kGqPXke[P[hZ^h JkGiPEc[ZON
[F]DOQL\dWR U
[PbGolG`]THgPT[\gPTPTPTPT[ijIDT[i]eWV_ [[Ppbb_]S
fGP[ae[Z ALPSh_OYHJYZ
SOQlWm \fIlm
[dVDeRkpL]`SW`SJ SOd_p
APSW`^KT[LHg[\g fKWojgPTPTPTPT[\Id
JkYO UXkmWWm
fpa` XX]`
fGZlZNGP[MM[iPEPE[ \QXP
SDO[a`^KTfYe S[Rkc[KTJkKdVe
fYkp fRVk
[F_kP`q[ \QTVkDTSDEXPZlXkike[P[Z
LAL[J[ AJ[
fc]`[ AP`^
UPXkq[Xke[P[Xki gX
SO ALHH\]`SJKTJkYOH
\Q\Sghhjq \hLhn
kGqPXke[P[hZ^h JkGiPEc[ZON
JMp SeFkRk
Q JkRVDkRX
LAL[J[ AJ[
fc]`[P AP`^P
[Pb FJJSk
o\UGXPM JkGP[Xkq[P[ZlXk
AJ[^KTUpHJAKTfYeL ^cjg[iR`obG```]K``]T
UNTe UWY
FN\[L]`SW`SJLHTUV \HHJJkY
[W\Qolg_SnS \Q\Pb
[dPXke[i [RkcQRPP[im
[FFkRpHJF P`^KTF
fKdpT\ A`W`^KTfRpja
UNTeh] qS
[h SOhLPeEjrhPeEjrhg\IdPTPPT[i
Jkpa`LhLh \hhFkKSgm
UNTedG JkGaq[P[Xkhq[Xke[c[aikq[
AKgT FJ\]`^P`^L]`^KT
AaT^KTfKPlM SehkS
SOUbWRWRP fKdG
SDkX SDkRGO
UWRNONT fYDedpahrF
AKT[S\Ej\E \]`KW`^L]`SJLUWYedVDeS\EjLejeE
fRPic[P[ai FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[ai
FVJFN\]` Aa`
f Sk
\[a`^a`^LUnSJLUpaHaHT JkRpT
KhJkdWG fRPic[
[kWT UVkXX\SQ
\]P`^KTJkKdX\P AP`SJP`^LUX\SYEjQo
\HaHaHH\]`SLHH\[J[^KO F
Jkn fYOHJ]`j
UWnS A
S SeS
SDO] AiKDO[P`SW
fGZTOUW JkcQXVOK]`SJJ[SJP`^J
\[a`^LUX fcpQ
GS FJJFJJ
fYeL rYeL
[Rk HUJJH
Aa`^KT\]`SW AP`JBSW
Upa]`^P`S Jkn^L]`SWS
FJ\LH SOHTJSOH
$ fKFk
HfnSW`J FN\UWc[a`^
S JFNl[a`^J[^P`^KTS
$ [Pbo_eLo_D
fGijc[ \QRVDOUGic[P[
\hhjg[ikhjId[\gPT[\Id[\W\R``]]`Th fRpTJWWokPloR`q```T_YEjgm
fGP[ae[ fGiPES[P[ic[ap[P[iP[
JkVDeRkRNNG \UG
JkpJ[SJKTUXXpa]`SW`SJP UPNnCW
SeRkGaq[iPEc[aq JkcHHJFN\QAGP
AKTbLfKLhnq [Wihj
fRVkXVe eAJ[^Lh
UXRpHJnfY fYOQRWY
[F fRVkRPZONNcQ
FJ\[KTfGXkik[ZlP[icc[ZNn fpa`^P`^P`
JkKp SDkRWYe
E JkKdNX\RkGP[ZlZX\L
[LP`] fYehRoleQobG
FN\ A`W`^KTfRpja
\TJ[ FN\Q\
FJSklWqmWWWWmmWWW SDklmWmmm
JkcQXVOK]`SJJ[S fnSW`^P`S
fKS\ Aaa`SW`^KTJkchdXRGZONNnKTUNNBScY
UWKh [FjICYT[V
JkRPP[ UGZOPaq[kP[
\hLhnA [S
UNTk\dPimP UPP[aike[aq[iP
AUTFJJA AP`^a`SJL]`^
S OFW\Y]n^KTS
UGZNchWG`````oloR]Tod_eFR UNNKFR]`Tb_ePbG`]
SOhhR]`TPghoR]` \hRFkRpHGJ[PbeQ``]
fGaq[ SDDOHTJfKLo_eh]OHHJNJJFJJ\QXG
SDeF_OC [Rkc
Se \UNNKTfK
$ \[a`^a`^LUnSJLUpaHaHTJ
AKTfYeSQ`]ToRTbjIOTPT[ oFJ^K\hHgi[
Aa`^LQRfXTSDTc FNJUVkTc
fKF_eSrhoRobMTbjZ\jIpT[i_edPaikqekikoe[ZGP JkGP[P[P
fYeLo \UHJ
UNX\SYEjQTokPli fKF_egli
fK G[
\[ \TJFNJAL[
SDklmWmmm FJSklWqmWWWWmmWWW
o\UGXPM JkGP[Xkq[P[ZlXk
SDk[\RkRNTO] \]
FJQjPXke[Xkq[X fKFFkGiPEc[P[P[aik
AKTJkpLQ\PbcToFkRO]`SoW FJ\[a
