38134
W[PZ ak[SZifiCBpHdgP
WPG^gFDFBHPUhhLL` gPUhLWh
h RRpO
Hd M
Z aiTFGB
gHPUhLLWLLLmhWh^LWhWhWhLL fiBTPUh
aiY Od^hi
fifrprrprr aSVkf]UNR
W _lX
f cSmi
aiaK R[[
g[PG^ SDD
GBRkBcmif XGBg]d^hkkf
fiBAVW pBTFGBAVW\VW\VW\VW
mVWWoq eVWpWpW\VWpWoWpW\VWoWpWoWoWpWpW\VWoWoW
fifbn fifrprbnebnebncWWW
SPfKH HDKH
TFGBOhkfbne pifrpr
pifr_pr WFGfW
XGBT]d^hF RRZOFT
piBaiXR piBak`TOCDSV
$ HdT]
piBH[PGjc YOhCag]jKH
fi HFj
R_kCBXDFGDBa`G g[PG
iBpiBpiBXD[ g
[DPUh OjKckW
g gpr
fiUfr akkfr
TdXmifbne WFGfrpr
fiBOhK mn
HPZ TZIf
W[dcmiBdWFGBW[Ff fif
ifHHYrSr gFGBaFID
WFUGfrQh XDFGBpifr__prr
piBg XDO
Hg[VPUhLW`LLLWhLLLWhLWhhL HFDPU
agdfifbnWebHYbner_ XD[DGfKbnReg
TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR HPUh
EX gPF
TFDdH[PG^[]h cmiBd^d^d^h
HdR RGFDdWFDdaClk
eVW\VW edmpW
fiU fi
GBRkBcmifr TFGBpifr__prbnWebnWerprr
fifbH W[dcmiBdWFGBW[FfbH
eVWpW eWoWffoW\Vr
Od^hk`YO RRoBODkeOk[]O
T[PGB HPGI
fif W[dcmiBdWFGBW[Ff
qpnQifrp XGfr__p
$ T
AVW cmiBAVkoWpW
cSSSVGU cSVG
DPhDMOV Od^hk`YO
fi W[dcmiBdWFGBW[F
Wd W[a
fifbHY mQrMrrQ__prrpC
g] $
eVlWQVW piBeVW
pifr_p f[ifbnebHYr_prr_p
cmiBT gj
T[G^P fiBg[[]hgP
AVW cmiBAVkoWpW
ficlrp fifr_p
XDD g
R[]Ok[SYOCVkBcSSSS c\SSS
fi GBRkBcmi
XDdXGBTPqD TD
AVWp_c eVWoW\VW\VWo
cmifrQp pifbnWer___p
cSSSmifr__ dfiXr_prrD
R RRV[]
\ cVGGGG
fiBAV pfiBAV
fifr__prr XGfr_prbnWerprpHrbHYr
HFDP D
cmDfbneb XGfb
OhKEVk k
g TFDFGBgFqdT
RoOgdfifrm___ pifr_prr_
HPUhWhLLWhLWhLWhL Hg[VPUhLW`LLLWhLLLWhLWhhLhWh
ai rEhgd
Rkfr_p XD[DGfKbnReg_prrp
XDFD[dXGBT[dAVWoW\VWoW heVWpWpW\VW
pif FWG
OhKEV $
eVW\VWip AV
W[FGBMVR aKN
\ HdcSSV
a WdcmiBX
piBeVW eVlWQVW
cSLVaG cV
AV eVW\VWip
X F
TdW[[dTFD XDO[
XGBRk cMmi
f[jf XGf
P fiB
HdTd T
Wd WFGBr
XDdR`lg]d^jK fiWBT_T
aiH[FDFG `
XD $
eVWpWpWpW iBTdfBVLW
aipif ffrpr
HFLGfrprbYner_ RRlCTOkkfr_prr
aKN W[PFD[dR`
X F
R`D RRq
$ HdT]
GGgdcmBH[iK XDDK
H]jKH e
XD]hk mkm
XGfb TDXfb
O $
OKql R`V[]OK
Sci c
g[GBUPhR fiBOjKbR
AVWoWpW cmiBAVkoW
l aGSpOKE
gnTG^P XDdgP
R` aDGSYOkR
pBTFGBAVW\VW\VW\ fiBA
cSSSSSmiHPT RkBcSmiBTP
cVP cSSSVGUP
XGBoR` RR
mkm XD]hk
H fiBRoO
cmiBpiBHdYW g
ZAV eVW\VWoW\VW
T]hiQifbHY Wdpif
AVW iBpiBe
WDKkWkO[WW XDDKcW
Hg[VPUhLW`LLLWhLLLWhLWhhLhWhL gFGBTPUhLLLL
XaBa WFD]hKTl
Z[PGM^ fiBW
$ O
gDK XDKlg
fiBeVW\V cSSSmieVWpWpW\VI
XDdH[PFqFD eZVW
TDXaaaa fiBiOTaa
GX TF
$ O
gPF pifr_prbn
cmnABfiRBXDDKb XDdR`lg]d^jKH
R`DbMSp RRp
HFD lg[
$ f
aGS OR`
Oh aip
cSmifbnWWWWWe if
cV cSLVaG
iBg cSSSmiB
cMmi Hdfi
fiBdXGfbnJ TFGfrprrprbHYrprbnebn
g]d^jK g[FGBpiBgPoK
g]hiXDFD]fjKcWkkWWk XGBgDKck
TdXmifbner WFGfrprr
Rkfr_ RoOgdfifrm
AVWo AVZ
ako `Y
$ g]d^hiWFDPG^
eVWoWpW eWoWffoW\Vr
TP HFLDrTP
fOBRk pi
G]OkR WFD]hC
gHPUhLLWLLLmhWh^LWhWhWhL gPUh
WFGfW pifr_pr
WdH]higP cSSSSSmiHPT
OhG OhF[
pifbnWer___p cmifrQp
RkBXGBHFGBcV mdcVbG
[dgfiE TFG
W]d bTOdY
OhkkB TTd
HPZ_ TZIf_
fiBg]hKEMF R\
gdfifrp XGfr_prbnWerprpH
fiBOjKb g[GBUPh
fiBaG]O h
cmnABfiRBXDDK W[DK
VGGGG cSSVG
UH]g gdWdH
TPUhLWhLWh PUhWhLLLLLWhWhLLF
eWoWffoW\Vrp eVWoWpWp
HPFq XY
WFGfWr_p fifr__p
piBaGSVoOgdgFGBgDRP Od^jRPfSSrf
fiB GB
TPGBEFq R`aOLqD
pifbnW fiQbnWbWWnWW
hkCT $
eWoWIo AVWp
fiB]pBHFGf] HFGfr_
G]Ok fiBRRYOk
fiBOj g[FGBpiBgPo
R_kCBXDFGDBa`Gj TPGj
WPq HFDPG
P WPFqP
AVWoWpW cmiBAVkoW
lg XD[
cmnABfiRBXDD W[D
TFDFDDR XDFD
lcmiBR`YOG TFGBaG
cSSSmieVWpWpW\VI eVWpW\V
XDdeV akkBe
fiBHFD[FDCD H[
gFGBA MVWj\e
aX W]h
a Ya
cmiBf cDSpm
$ XGBfiBg
ii_Dd $
TDXfb XGfb
cS SciS
eVWoWoWp eSWEp
cmiBd^d^d^hCp aG]
gPP piB[j
pif c\SSSmif
D gP
piBHd pB
R aKTT
$ piBH[
H[dfiBg cmiBpiBHdYW
$ W
fiBOjK g[FGBpiBgPoK
M a
cSSSVGU HdpiBcVG
gFGBTPUhLLLL fiBgPUhWhLLWhLWhBWhWhWULWL
Odj Ohg]
cmi fiBAGC
cSmiBc [BB
WPUhLLWhLLLLL TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhRWh
TFGBa lcmiBR`YO
cmDfbneb pifrprb
piB iBTiBf
H[DKH gDg
OhKq EaIa
TDXfb XGfb
XGBT] FJ]^Gd^Q
gXdcVP`J cSSSVGGP```
eVWpW\VW cSSSmieVWpWpW\VIW
$ g]hKE
AVWpWpW\ eVWboWo_\
TFGBaG] G]OkRT
TFDdpi GXG
HFLDr $
W[dW[[ mXD
agP^PUoLLL WPUhLLWhLLLLL
jfr T]jR
fiB]pBHFGf] H]hkkfr_
RoOKqUkk HFG
edmpWoW eVW\VWoW
f[ifbnebHYr_prr_pr cmifbHYbnerpr
HFLDr $
$ piBH[]h
I Od^hFI
XG XVDdjgF
GBRkBcmifr XGfr__
AVW\VWpWo eVW\VWip
W GoOg
eWoWIo AVWp
nRTOiUiBkS Tdc
g Od
HPZ T[G^PZ
R`DbMSp RRp
H[]d^jXaaaaaaaaa fiBiOTa
R`V`DSVk fb
]cSmiBBOh R[SYO
agP^PUo WPUhLLWhLL
OhiOd^d fiB\Od
aiOhk W[PFD[dR
C g
miBgFGBj W[dRkBOd^hi
YfiBfif fifbnWebnWWe
fiBOjKbRP g[GBUPhRP
fi akOKFZjGGGOo
cSSSVGUP` HdcVP`
gdT XoOkJ
fiBAGCf fif
piBH[]h Ea
H[DKH gDg
`B XGB
HPG XDGK
XDFGBIg TFDFD
WFGBO H]g
G]OkRT RoOKNTOCZ
pf f
aDGSYOkR RoOKNTOC
p R[SYO
cmi cDSpmi
fUBg[ g[dfiBWdT
$ iZB
HcmB] T[]
gPF C
TdAVW piBAVWWoW
cmifrQp pifbnWer___p
TdeVWoW XG_^BfiBAW
d Oh
aWXPZ WdH]higPZ
OhCYOF aHB
OddO g]
cSSV VGGG
fofr_U fifr
fiBWP bWPFY
RkBXGBHFGBcV BVGG
piBTD Whh
pBTFGBAVW\VW\VW\V fiBAV
H`GBfifr__prb fiBXGfb
eVWboWo_\ AVWpWpW\
XG fiB
OhKEV $
rEhgd ai
aKNZOk`ZOSRf fiBXGfbnWer
fiBT RoVQkT
cSmiBOh Ydpi
gdH[[PFqFGfrp TdXmifbnerp
heVWpWpW\VW XDFD[dXGBT[dAVWoW\VWoW
edmpWoW\ eVW\VWoW\
gdOdU^h cmiBpiBTd
fifbnebH cmUKHYbnWerprr\prlbH
R[[N fiBXGBfiBR`
pifbHYrp fifrprbnebnebncWWWerp
GX TF
OhKEVk` R[
RDRIOKNp cSSmiBako
eVWoW\VW\VW eWoWI
AVWpWpW\V eVWboWo_\V
gHPUhLLWLLLmhWh^LWhWhWhLL T]d^hiXGBHPUhLLL
cmnABfiRBXDD W[D
fifr^ pifbnerprr
XDPZ ngPZ
edmp eVW\V
eWoWffoW\Vr eVWpW
Od^hk`V`lC OR`DS
XDFD[dXGBT[dAVWoW\VWoW heVWpWpW\VW
H]hkkfr_ fiB]pBHFGf]
gHPUhLLWLLLmhWh^LWhWhWhLL fiBTPUh
W]d^jKHK TFDDKH
pfiBAV fiBAVWo
pW piBfi
aCD RRoBODkeOk[]OG
HcmB T
XDDKc H[FK`cbf
W[PZ_ ak[SZifiCBpHdgP_
Ro R`DbMSp
RkBAVWoWoW\ D
fifrIKpS RRVRVoOkkfrp
piBgdaififr_prbnWebHYr HFLGfrprbYner__prr__
aX RRpOGSTO
fifFbHYbnWNe cSmifrpr
RkBeVW\VWpW\VW\ edmpWoW\
HSgq[ H
R`ZGSlgdWfifbn WFGfbn
g[GBUPhRPS OjRPSCpP
fiBiBR R
g[GBUPhRP OjRPSSf
ai UH]
gdfifrp XGfr_prbnWerprpH
gFG MgFDpGIS
cSSmiBocSSVGP` cSSVP``````````````
AVWp mV
$ T
fifbnWebnWW TDXfbn
AVW\VWpWoW\VW iBpiBe
WFGfrprrp TdXmifbnerp
g]j WPVH
aip Oh
aG R`Y
gPG^DKckkkWW WDKkWkO[
R_kCBXDFGDBa`Gj piBH[PGj
H`GBfifr__prbnW pifbn
MVWj\eVW\ XDPG^PFqde
Od^CKNV`VZOiXBOd^j gD
agF Xa
eVWoW\VWo eVW
WFGBrR WdpiBR
XD[FD[FDdcSmiBWP gprP
Hg[VPUhLW`LLLWhLLLWhLWhhL HFDPU
XDIFV W]
g[GBUPhRPSC fiBOjKbRPSC
GBT gdT
R`V[]OifiBfigBWFDd gd
akOKFZjGGGO aKES
RoOigPF $
g]d^jK g[FGBpiBgPoK
RR R`DbMS
p ei
AVWp_cW AVWpW
Od^hCD] [D
aig]d^hK R[[
XD[PPK c`miBXDDK
AVW eVW\VWi
WPG^gFDFBHPUhhLL` TPUhLWhLWhWhL
H[dO ZO
A eWp`W\VhW\
piBaGSVoOgdgFGBgDRP Od^jRPfSSrf
eVW\VWH RkBXDDK
AVW mVWWoq\VW
TdXmifbnerp WFGfrprrp
T]jK XDMDK
T[PGB HPGI
T]jKc HFD]QjKckWWW
gPUhWhLLWhL TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR
TgV RRTOKNpOFI
WFUGfrQh_ XDFGBpifr__prr_
YOhCag]jKH g[PGjc
M $
XGBG RRD
H $
dfiXr_prrD cSSSmifr__
cSSmiB fiBHiBTHLdgQB
N piB
eVWp pBTFGBAVW\VW\VW\V
cMm Hdf
gFGB MgFDpGISB
cVGGGGP \P
AVWpWpW\ eVWboWo_\
cDSp c
WFD]hKTlk XaBak
cVG VGGGG
cmifrQprr WdXGfrprbHYr
VGGG cV
oPFqdT[PPXaaH gFDDXa
cmnABfiRBXD W[
W[DK cmnABfiRBXDDK
c\S R[]Ok[SYOCVkBcSS
XGNT[fD[] WDK
piBA RkBXD]hk`
[FDKHC H]j
fiBRRYOkR W[PFD[dR`
f[ifbnebHYr_prr_prr cmifbHYbnerprr
piBAVWp mpYiZBk
Od^CKNV`VZOiXBOd^jKc XDDKcWW
cSSmiBif XGfbne
gVOh a
ng T[
fiBdXGfbnJ pifbHYbn
G fi
pifbHYrp piBTdfifrprrprprrprrp
]Rp RRp
cm cDSpm
WDKkWkO[W XDDKc
IeVWpWoWp piBeVWo
XZDbb XDd
H]hKqicSmi jDi
XDGKBE TdWPFqdgP
fiBeVW\VW cSSSmieVWpWpW\VIW
cSmif HFjf
gPPKH _lXD
f RRpOipi
R`pOipif R`ZGSlgdWfif
TP doOd
W[dW[[PPXa TDPnd
R[ fiBiBR[
aiY gd
fiBHiBTHLdgQB g[dfiBWdTd
piBpiBA mVW\
GBRkBcmif XGBg]d^hkkf
fifrprrp HFLGfrprbYner__p
c Sci
p[Wf gdH[[PFqFGfrpr
Wi OhK
TDX XG
jD TFD[df
R fiBiBR
TZIf_Q HPZ_Q
N piB
cmifrQp pifbnWer___p
R[]Ok[SYOCVkBcS c\
a cmiBcmiBcmif
RRD]O aKM
XGfbnWeb HGfbBYi
T]hiQifbHYr XGfrprbnWer
fifr_ WFGfWr
$ AV
TYac cSS
gPZIAIA_QA lg[PZ
fiBOjKbRPS g[GBUPhRPS
T]d^hiXGBHPUhL gHPUhLLWLLLmhWh^LWhWhWh
piBAV T
XDPKck g[DKc
eVWboWo_\ AVWpWpW\
piBWFD[[PPK SPfK
AVW\V IeVWp
H[]d^hk`l fiR`fiR`IlKEV
ffH fiBXGfb
$ WFD
fiBXGf fiQbnWbWWnWWe
fi pif
cmUKHYbnWerprr\prlbH pifbnebnebH
cSmi UPi
XDFGBIg TFDFD
HFDPUhWhL gprPUh
pifbHYrprbH XGBOhGSDSCYOXEFGfb
piBAVW\VW\VW pifHr
ZY g]hKE
XD gpr
eVWoWoW\VW\VW\ pfiBA
pifbn XDMDKckWW
gPUh gHPUhLLWLLLmhWh^LWhWhWhL
WFGfWr pifr_prr
W[DK cmnABfiRBXDDK
fiBiB $
TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR HPUh
fifr piBTdfifrprrprprrprr
eb XDdeV
qDec XD[PPKc
piBTdfifrprrprprrpr fif
pif T[
cmifrQp pifbnWer___p
GBRkBcmif TFGBpifr__prbnWebnWerpr
fiB]pBHFGf] HFGfr_
TFGBfiBpifb HGfbBYi
A heVWpWpW\VW\
XDDRPCp DKEEg
gie[B T
gHPUhLLWLLLmhWh^LWhWhWhL gPUh
ii_DdA A
XGBOd^ fiB\O
fifrIKpS RRVRVoOkkfrp
WFD]hC W[PFD[dR`
X XDdcSV
f[ifbnebHYr_prr_prrp pifr__prrp
AVW\ mA
aG XaBak[
A MVWj\e
MVWj\e gFGBA
cmiBpiBHdY piB
ak`lgFG RoK
Oh RCRN
AVW\VW\VWoWo eVWboWo_\V
AVWpW eVW\VQW
OjKcWWWkWWkkWWe pifbnW
XGX piBgdgF
fiBOjH fiBOjKb
R`ZGSlgdWfif fiBfiBcmifbnWe
p TBr
gP H[PC
ngP XDP
WFGBr WdpiB
HPG XDGK
g] VGGaGPl`
W]jR Tg[_FqdXkDj
ak[SDSD OhF[
aiYX HFDF
p[W gFG
cSV FG
Od^CKNV`VZOiXBOd^j Oj
RoOKqUkkf pifrprbne
HGfbBYine gFGf
fiBiBR R
fifbHY mQrMrrQ__prrpC
TPFqFG if
Y eVW\
eVWoWoWpW\VWo fUBg[dAV
XDdcSV X
T]jRPffSSC Od^jRPfSSrfSC
R ]
AVWpWpW eVWboWo_
WdpiBT S
P $
g[GBUPhRP OjRPSSf
OR`D aGSD
fiBgPUhLLWhWhLLLLWhWhWhLLLLLLLW PUhWhLLLLLWhWhLLFW
Od^CKNV`VZOiXBOd^j Oj
T eTW
ii_Dd $
gHPUhLLWLLLmhWh^LWhWhWhLLW gPUhLW
A ii_DdA
R_kCBXDFGDBa`G piBH[PG
g iBpiBpiBXD[
KDV XGBak[
T]d^hiXGBHPUhL gHPUhLLWLLLmhWh^LWhWhWh
fiBXD[FG $
TPFq\FGBcV cSV
gnTG^ W[
XGfr_prbnWerprpHrbHYr cmifr_
A TdWdAVWf\J
RRp R
fiBg[[]hg T[G^
HFGfr_pr R`ZDOKqicSmiBpif
XGBG RRD
oeXVW\ piBe
$ Od^hk`V`l
XGfb TDXfb
g[]d^hk[SlkkBeVWpWpWoEpWp gFGBTPUhLLLLL
WFGfWr fifr_
TDXfb XGfb
TNFGfbnebNYr XGfbnerprr___
fiR`fiR`IlKEV H[]d^hk`l
gd pB
TFGBXG XGq
gdH[[PFqFGfrprb p[Wfb
HFDFGf A
HdOj Z[PGM^D
HPGI gPGB
eWoWIo AVWpW\V
cVG ADpc
aGSpOKE l
c\SS piBc
fi pfi
TdcSVGP TccSVP`
T]d^hiXGBHPUhLL gHPUhLLWLLLmhWh^LWhWhWhL
piBIl[ TD
cSSSSSmiHPT W[P
fiR`fiR`IlKEV H[]d^hk`l
M H[d
piB N
pifr GBRkBcmifr
HPZ TZIf
HPGK[ TD
Ro a
g[FD XDPbq[[
pifbHY piBTdfifrprrprprrpr
pil fifrpr
cSmiBOhg] Ydpig]
XDdeVW akkBeW
gPZIAIA_Q TZIf_Q
HPZ` WdTPZ
XDPKck g[DKc
HFLGfrprbYner__p RRlCTOkkfr_prr_p
eVlWQVWoWo AVWoWpWoWoWpW\VWp
fifbner pifrprir_
bWSG^ T[dT
XDPKck HDKcWWWWWW
gdfifrp XGfr_prbnWerprpH
TDK fiBOj
X cSSVGGG
H[FG p[W
piBT]hKNYOCYOCV [D
piBTdfifrprrprprrprrpr pifbHYrpr
gDKckk g]hiXDFD]fjKcWkk
RoOK T
W gLS
eVWpWpWp A
gdCfifrpra Od^hiXGf
XGfr_prbnWerprpHrbHYr gdfifrprbHYr
ag WdiBpijXGBlH[FD[
gLS]j gPFqD
eWpWcpW AVW\
WPUhLLWhLL agP^PUo
H fiTH
TZIf_Q HPZ_Q
SciS cS
pifbHYr piBTdfifrprrprprrprr
pifbHYr__prr_p cMmifrp
W]jKcWkWWk OjKcWWWkWWkkWWe
WFGBrR W]hk
cmifr RoOgdfifrm
g[GBUPhR fiBOjKbR
cSSSmieVWpWpW\VIW fiBeVW\VW
d aicSSSmiB
Gfber`qI gFDFGfbHYbHYbner_p
ii_Dd $
TDK fiBOj
f[ifbnebHYr_prr pifr_
cmiBAVkoWp piBAVWp
pifbnerprbnerprbHY fiBgfiM
fiBiOTaa TdW[dfiBOd^jKHXaa
cSSEifr_prbHYr_V g[FDFGfr
aCYOg ng
RRYOg XDO
XGfr_pr YdW[qGf
OjKckW [DPUh
AVW neVWW
fiBRRYOk G]Ok
Oj $
m AVWpW\
mVWWoq\VW g[dAVW\VW
eVW\VWoW\VWoW fiBAVWW\oW
gFGBAVW AVnWW
XGfr_prbnWerprpHr XGfrpr
TFGBH[ OR[ZOn
A mA
HPG XDGK
l $
gPZIAIA_ TZIf_
cSSSS JcSO
T]jRPCp OjKHDURr
T[dXG p[W
gHPUhLLWLLLmhWh^LWhWhWh T]d^hiXGBHPUhL
gnTG^P XDdgP
eVWoW\V piBAVWWo
piBeV XG_^BfiBA
Wd WFGBr
RoOCD KDV
cS TPFq\FGBc
pifbHYrp fifrprbnebnebncWWWerp
gEWOCd g[
Hg[VPUhLW`LLLWhLLLWhLWhhLhW TPUhLW
HdHDK [dHDK
XGfbnWebn HGfbBYin
cSLVaG cV
OhKEV $
oO^lKZEXkoOCpOKNVRYOieVW XDdXD[[dAVW
T[G^PZ_ HPZ_
fifb W[dcmiBdWFGBW[Ffb
cSV cSSmiBocSSVG
cSSSmieVWpWpW\VIW eVWpW\VW
TFDFDDR XDFGBIgDR
fiBHD [dHD
fiBA pBTFGBAVW\VW\VW\
k OhKEVk
mn T]hK
piBpiBXD] gLS]
XDDFGJBgP XDPG^P
RRlCTOkkfr_prr_ HFLGfrprbYner__
p ei
fifrprbWgr piBfiBfifbHYr
TF GX
AVW\VW\ Aqd
AVW\VWpWo eWp`W\Vh
XGBO $
TdW]hG]Og[ gpr
lGZM piBfi
RRlCTOkkfr_prr_pr HFLGfrprbYner__pr
pifbnerprb CRRZOG]OgFefbHcb
TPGj R_kCBXDFGDBa`Gj
T eZVW
cVP`````` TPFq\FGBcVP
T[FGBcmiBpif XfPbHY
gPU gHPUhLLWLLLmhWh^LWhWhWhLLW
OR[ZOn TFGBH[
g[[dTPZ XWDB[PZ
GBAW WPUhLLW
XDGK HPG
g] Odj
cMmi Hdfi
fiBaCT aDGSYOkRZ
HdcV cSSSVGU
FciSfil g]h
HdH[DXaaaa cmnABfiRBXDDKbX
cS TPFq\FGBc
WFGBr Wd
H[FDFDFGB eZV
AVWpWpW eVWboWo_
R` Oh_C
pf f
RRlCTOkkfr_prr_ HFLGfrprbYner__
pifrp RkBWdfifbnWWer__pS
fiB [d
pi [km
W] GoOg]
piB cmiBpiBHdY
gVOh RoO
G]O fiBRRYO
Gfber`qI pifr__prrp
AVWpW eVW\VQW
piBTdfifrprrprprrprr pifbHYr
PUhWhLLLLLWhWhLLFWh fiBgPUhLLWhWhLLLLWhWhWhLLLLLLLWh
HFDPUh Hg[VPUhLW`LLLWhLLLWhLWhhLh
WdiBpijXGBlH[FD[ ag
aGS OR`
qDecW gDKc
piBaGSVoOgdgFGBgDRPSC Od^jRPfSSrfSC
fiBg[[]hgPZ T[G^PZ
cmifrQprr pifbnWer___prr
fifrprbnebnebncWWW fifbn
W[ aWX
H]hkkfr_ fiB]pBHFGf]
ak`lgFG Q
T[PGB HPGI
fiBgFD]d^ piBR[ISZOi[]
qpnQ cSm
R`ZDOKqicSmiBpi XGBfi
WFGfrpr TdXmifbne
TF GX
W[dRkBOd^hi miBgFGBj
HFDP D
TFD[dfi gGq
SPfK TFDDK
WFD]hKTl XaBa
XgdTgFGBfLFM]j T[D
aG cmi
aWX RkBcSmiBT
fi gXG
AVWpW eVW\VQW
T XDdXGBTPq
$ \Ng
OjK mUgWoW
TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhRW gPUhWhLLWhLW
dZ a
g]h OT
Ro R`DbMSp
XGf XGBfifObmne
W kBT
X cmi
XZDbbR RoOk
R_kCBXDFGDBa`G TPG
OR` aGS
TFGBOhkfbneb pifrprb
[iip g[FGfr_p
g TFDFGBgFqdT
TD WdOd^ki
XZDbb XDd
H WPq^
$ WHZpV
Od^CKNV`VZOiXBOd^ O
XGfr_ fifr^
gdc cX
gFGBT[FT[[ piBRkBWdg
TDXaaaaaaa TDPnd
XDPG^P XDDFGJBgP
eWoWffoW\VrpW eVW
R`VkfZ_ pifr
piBTdfifrprrprprrprrp fifrp
WFD]hKTlk XaBak
fiBA pBTFGBAVW\VW\VW\
eVW\V edmp
piBHd Odd
TdAV eVW\VWipW\V
m AVWpW\
AVW\VWoW YVW
fifbn fifrprbnebnebncWWW
fiBiOTa TDXaaa
eVW\VWH gdXDFGBfiBXDDK
R[]Ok[SYOCVkBcSS c\S
W[FD[FDFGBgFD]hgPP Z[PGM^D
OjKckWWkk H[FK`cbf
$ O
agdfifbnWebHYbner__ cSSEifr_prbHYr_V
cmiBpiBHdY piB
piBTdfifrprrprprrprrprb piBTFGfb
p $
iBpiBpiBXD[ g
eWoWIo eVWoW\VW\VWo
HFLGfrprbYner__prr__ RRlCTOkkfr_prr_prr__
WFGfW pifr_pr
RkBcSmiBTP aWXP
OR[ZOn TFGBH[
ak`TOKNpOKEE cmiBd^d^d^h
fifrIKpSr RRVRVoOkkfrpr
Wdpifr_ R
MVWj\eVW eVWoWpWpW
W[PZ ak[SZifiCBpHdgP
XGBf R`ZDOKqicSmiBp
cSVP cjP
Od^hk`YO DPhDMOV
XGf cmDfbne
AVZ HFGBeV
Tdpif XDF[Fcf
cjP cSSVP``````````````
piBcV cSLVaGG
fifr^ pifbnerprr
XDO[ HFD
cSmifbnWOb^ WdXDFGfbH
T $
cmiBgFDDR T
$ ii_Dd
piBH Od
a bp
akOKFZjGGGOo fi
R`DbMSp RRp
Gfber`qI XGfr__p
cmifrprr_prrprr_p fifrIKpSrr_p
WP doOd
$ HFGBf
lcmiBR`YOG R[
fiBRRYO G]O
fi f
HFDPU Hg[VPUhLW`LLLWhLLLWhLWhhL
fiBiB $
fUBg[ g[dfiBWdT
RoOKqUkk RRpOipi
cSmiBO FJ]^Gd^Q
f[jfr_p T[FGfrp
rEhgd ai
GBRkBcmi fi
eVWoWpWp eVW\VWip
TccSV cSSVG
R_kCBXDFGDBa`Gj TPGj
Ya a
WFGfrprrp TdXmifbnerp
TFGB iBg
TFDDKH gPPK
Wd WFGBr
fifbnebH XGBOhGSDSCYOXEFGfb
XE W
MOjKY OjK
nRTOiUiBk c
a M
aHBI cmiBaFI
TdXmifbnerpr piBfifbne
AVW\VWo IeVWpWo
pifbHY fifrprbnebnebncWWWe
CDdR piBak`TOCDSV
OjKckkkkWkkWkWWkW [DPUh
g[FDFGfrprrpr RkBWdfifbnWWer__pSr
HFDFD XBH]hg
XDMDKck T]jKck
edmpW eVW\VW
cqcV RkBXGBHFGBcVG
ai rEhgd
mUgWoW OjK
XDDKbR cmifr_prrprrprrpr
piBTdfifrprrprprrprrprb fifrprb
$ piBTPFq
RoOigPF $
HGfbBYin XGfbnWebn
eVWp piBAVW
c AWpW\
WF HDKH
c\SS piBc
pifb W[[FDiFdffr__prL
RRV C
HFLGfrprbYner_ RRlCTOkkfr_prr
XGfr__ fifr^_
gHPUhLLWLLLmhWh^LWhWhWh T]d^hiXGBHPUhL
^aY HPFq[]h
fifr^ pifbnerprr
XGBAV eVc
fiB]pBHFGf]p HFGfr_p
eVW\V eVWBVWoQ
XdCM XGBT]jR
[dHD TD
gP P
AVWp eVW\VQ
fifrIKpSrr cmifrprr_prrprr
$ W[
TBri pi
miBgFGBj W[dRkBOd^hi
gd GB
g]d^jK g[FGBpiBgPoK
aipifrp pifrprir_p
HGfbBYi XGfbnWeb
Od^jXaa fiBiOTa
piBfi pW
HFGBfifr fiUfr
T[G^PZ_ HPZ_
aiOhk W[PFD[dR
cm fABXcGBffU
T]hiQifbHY XGfrprbnWe
Gfber`qI pifr__prrp
Oh $
Xa agF
RkBAVWo aA`
bWSG^d $
RkP gd
ak`TOKNpOKEE cmiBd^d^d^h
fifbHYrp R`V[]OifiBfigBWFDdfifrp
g iBpiBpiBXD[
_lXD fiBWD
A eVlWQ
qpnQifr pifr_prr_
[D piBaKNVRpOCVRpOk
ak piHbRX
pfi fi
fiBgPUhWhLLWhLWhBWhWhWULWL XDPUh
T $
c\S R[]Ok[SYOCVkBcSS
nRTOiUiBk c
T[G^P HP
fiBA pBTFGBAVW\VW\VW\
mVWWoq\ A
Oihqk\ piBT]hKNYOCYOCVR
g[PU XD[P
H[ dW
rEhgd ai
WFGfW pifr_pr
fiBOjKbR g[GBUPhR
cMmi Hdfi
eVWpW eWoWffoW\Vr
AVW\VDjJ OjKckkkkWkkWkWWkWk
] TPG
eVWpWpW cSSSmieVWpWpW\VIWpW
W[dW[[ mXD
TdA Ap
eV eVWoWoWpW\VW
$ T
gie[BP TP
piBXGBW ]cSSSQ
R fiBiBR
Od^CKNV`VZOiXBOd^ O
cSSSVGU HdpiBcVG
aiYX g[FDFDF
W a
ei p
O XGBW[[]d^d
HdWPZJ_O WPZI
rEhgda RRD]O
eVWoWpW eVW\VWi
fiBAVWoW pfiBAVW
gprP XDP
gdT XoOkJ
R`Z R
ag gEWOCd
XDFGBcS XDc
gFDPFqPG^PG^] $
cMm Hdf
MgFDpGIS gFG
OhiOd^d fiB\Od
piXD ai
RRlCYOK $
edmpW eVW\VW
H]I cmiBO
R[SYOGSTO fiBWdR[S
piBc c\SS
h RRpO
gLS] Od^
